id,accreditations,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website
107,,BIPD,,"This is the business number to the Bainbridge Police Department. FOR EMERGENCIES DIAL 911.",,,,,"Bainbridge Island Police Department",,,http://www.ci.bainbridge-isl.wa.us/134/police
108,,BSC,,"The mission of the center is to enrich the lives of the local seniors with life-long learning and recreational activities. They provide over 30 activities each week which include: exercise, in the form of line dancing, square dancing and aerobics, an extensive craft program, sports activities, and a computer lab.. They also have daily/overnight outings, a hiking program and many special events. The Senior Craft Fair, held each October, is one of their most popular projects.  The senior center also acts as a Chuckwagon Meals site Thursdays and Fridays and noon.",,,,,"Bremerton Senior Center",,,
109,,"DWI Victim's Panel",,"The purpose of the Bremerton/Kitsap County DUI Victim's Panel is to educate the community about the tragedies that are caused by drunk drivers.  It is also their purpose to educate the offenders, who are committing these crimes, on how their behavior has affected the lives of innocent victims.  The victim's panel is made up of volunteers who have either been injured by a drunk driver or had a family member or friend killed because of drunk driving. They also have DWI offenders speak, who have either injured themselves or killed someone while driving under the influence.  Call above for more information.",,,,,"Kitsap DUI Victims Panel",911404356,,http://www.duiimpactpanel.com/
110,,"WSU Extension",,"4-H Developing all youth to reach their fullest potential through: developing life skills, learning by doing, and utilizing the knowledge of the land-grant university system.  The 4-H club is for all youths ages K to 18. They promote many ""learn by doing"" projects for youth.",,,,,"WSU Clallam County Extension Office",27-0195757,,http://clallam.wsu.edu
111,,UGN,,"This is the local chapter of the United Way in Jefferson County.  The UGN of Jefferson County is the primary way county residents direct charitable donations to their local neighbors in need.  The all-volunteer UGN Board scrutinizes requests from agencies devoted to helping the needy, then allocates funds agencies devoted to helping the needy, then allocates funds to those demonstrating effectiveness and efficiency.",,,,,"United Good Neighbors",237126351,,http://weareugn.org/
112,,"Literacy Council of Clallam County",,"Our mission is to strengthen our community by helping people to live safe, healthy and productive lives. United Way works to advance the common good by mobilizing the caring power of our community to raise resources and invest in what matters most to us locally.  Community members have told us what is important - that the building blocks of a good life are education, helping children to be successful in school, gaining skills that lead to satisfying work, income that supports a family into retirement and good health.  Volunteers help raise resources and make recommendations for the best way to distribute local donations.  United Way serves as a constructive voice for human service needs in Clallam County.  We work together to identify the most intractable problems, and then raise resources including volunteers, funds, and advocacy that will address those issues in a permanent manner.  Volunteer opportunities available.",,,,,"United Way of Clallam County",910714632,,http://www.unitedwayclallam.org
113,,UWKC,,"Through workplace campaigns, support from local businesses and the generosity of thousands of individuals, United Way of Kitsap County raises funds to support 36 local health and human service agencies.",,,,,"United Way of Kitsap County",910623990,,http://www.unitedwaykitsap.org
114,,CFSD,,"Contact the above number for specific Cape Flattery school district telephone numbers and locations, information regarding school closures, administration, attendance, athletics, parent teacher information, school supply lists, school boards, school musicals, etc.",,,,,"Cape Flattery School District",,,http://www.capeflattery.wednet.edu/
115,,CKSD,,"Contact the above number for specific Central Kitsap school telephone numbers and locations, information regarding school closures, administration, attendance, athletics, parent teacher information, school supply lists, school boards, school musicals, etc.",,,,,"Central Kitsap School District",,,http://www.cksd.wednet.edu/
116,,"ALIVE Shelter",,"The YWCA operates services from three sites in Kitsap County: the YWCA Community Center located at 905 Pacific Avenue in downtown Bremerton, the confidential YWCA ALIVE Shelter, and the YWCA ALIVE Bainbridge Island/North Kitsap Domestic Violence Program, also in a confidential location. The YWCA of Kitsap County provides support, advocacy and referrals to families affected by domestic violence, to families with children at-risk for neglect and abuse, pregnant and parenting teens and at-risk youth.",,,,,"YWCA of Kitsap County",910665112,,http://www.ywcakitsap.org
117,,"West End Seniors",,"The West End Senior Center offers a wide variety of activities, from day trips, potlucks, hearing aid testing and bingo, plus so much more.",,,,,"West Youth and Community Club",910996715,,http://www.sekiu.com/sekiucommunitycenter.php
118,,PASC,,"The Senior Center offers a wide range of activities from art classes, games, support groups and day trips.  They also offer a monthly newsletter.",,,,,"Port Angeles Senior Center",,,http://www.cityofpa.us
119,,SSAC,,"Shipley Center, formerly Sequim Senior Activity Center, provides educational, social, and recreational activities, classes, and services, especially for those of low or moderate income ages 50 and up.  Shipley Center also provides meaningful volunteer opportunities and fun day trips to area events.",,,,,"Shipley Center",91-1355592,,http://www.shipleycenter.org
120,,SARC,,"The SARC has many recreational opportunities for individuals and families. They have a 25-yard-long pool with diving board, a wading pool for children, and a waterslide.  The pool closes 1/2 hour prior to the facility closure.  They also offer a gym, racquetball courts, hydrotherapy spa, dry sauna and an exercise room with exercise classes.  Additionally, SARC offers child care and fitness classes.",,,,,"Sequim Aquatic Recreation Center",,,http://www.sarcfitness.com
121,,"Retsil Veteran's Home",,"A state-of-the-art, non-institutional facility providing a ""Resident Centered Care"" concept that focuses resources around the individual resident. All primary services for a resident are available within a forty-bed ""neighborhood."" The Home serves more than 276 residents needing both skilled-nursing and assisted-living care.",,,,,"Retsil Veterans Home",,,http://www.dva.wa.gov/washington_state_veterans_homes.html
122,,"Bremerton Salvation Army",,"Emergency assistance with food, utilities, household goods, toiletries, and other basics for low income people.  They also offer summer camps for youth 7-17. This agency also has a free breakfast and lunch served during the week.  The food bank access is once a month.",,,,,"Salvation Army - Kitsap",94-1156347,,http://www.bremertonsalvationarmy.org/
123,,,,"Provides food, diapers, toiletries and personal hygiene. They offer Christmas toys and meals to people in Clallam County during the holidays. All needs must be verified and there is no cost for services.",,,,,"Salvation Army - Clallam",,,
124,,CKFR,,"This is the business number for CKF&R. Areas served are: Crosby, Hintzville, Gilberton, Wildcat Lake, Kitsap Lake, Erlands Point, Tracyton, Seabeck, Silverdale, Lake Symington, Lake Tahuyeh, Chico, E. Bremerton, Illahee, Island Lake, Meadowdale. For Emergencies dial 9-1-1.",,,,,"Central Kitsap Fire & Rescue",,,http://www.ckfr.org
